rubric_id,track,section,points,requirement,proof,deliverables,owner,test,validation_command,evidence_path,evidence_type,acceptance_id,source_file,source_row_index,source_digest,artifact_repo,artifact_path,behavioral_assertion
LLM-ci-cd-agent-k-o-d-li-u,LLM,"CI/CD; (CI/CD = test + build + auto-deploy); (all secrets should be saved in Jenkins or similar tools instead of putting it inside your code!)",2,"Agent kéo dữ liệu","Capture màn hình từng CI/CD pipeline đã run thành công","Agent kéo dữ liệu",llm_engineer,"pytest tests/phase2 -k 'LLM-ci-cd-agent-k-o-d-li-u'","pytest tests/phase2/requirements/test_llm_ac_12_cicd.py -k 'LLM-ci-cd-agent-k-o-d-li-u'",docs/phase2/evidence/llm/LLM-ci-cd-agent-k-o-d-li-u.md,executed,"LLM-AC-12-CICD",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,35,2f58f52cef0801667bdb8896a0cdabf9bdb3cbb43b1d968aa24d881b9fd2b720,source,.github/workflows/phase2-ci.yaml,"yaml_path:jobs.build"
LLM-ci-cd-agent-l-m-coordinator,LLM,"CI/CD; (CI/CD = test + build + auto-deploy); (all secrets should be saved in Jenkins or similar tools instead of putting it inside your code!)",2,"Agent để làm coordinator","Capture màn hình từng CI/CD pipeline đã run thành công","Agent để làm coordinator",llm_engineer,"pytest tests/phase2 -k 'LLM-ci-cd-agent-l-m-coordinator'","pytest tests/phase2/requirements/test_llm_ac_12_cicd.py -k 'LLM-ci-cd-agent-l-m-coordinator'",docs/phase2/evidence/llm/LLM-ci-cd-agent-l-m-coordinator.md,executed,"LLM-AC-12-CICD",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,37,b7ed5f65e37dda62a03d7e3284364a25602fc31703e2464713d67218207ad16c,source,.github/workflows/phase2-ci.yaml,"yaml_path:jobs.lint"
LLM-ci-cd-ci-cd-cho-rag-data-pipeline,LLM,"CI/CD; (CI/CD = test + build + auto-deploy); (all secrets should be saved in Jenkins or similar tools instead of putting it inside your code!)",2,"CI/CD; (CI/CD = test + build + auto-deploy); (all secrets should be saved in Jenkins or similar tools instead of putting it inside your code!) — CI/CD cho RAG Data Pipeline","Capture màn hình từng CI/CD pipeline đã run thành công","RAG Data Pipeline",data_engineer,"pytest tests/phase2 -k 'LLM-ci-cd-ci-cd-cho-rag-data-pipeline'","pytest tests/phase2/requirements/test_llm_ac_12_cicd.py -k 'LLM-ci-cd-ci-cd-cho-rag-data-pipeline'",docs/phase2/evidence/llm/LLM-ci-cd-ci-cd-cho-rag-data-pipeline.md,executed,"LLM-AC-12-CICD",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,34,97d4f88a67aa5e95e9816c29a969ff16d7e6fe2232fcf3136ce570d4477007a6,source,.github/workflows/phase2-ci.yaml,"yaml_path:jobs.gitops-pr"
LLM-ci-cd-job-1,LLM,"CI/CD; (CI/CD = test + build + auto-deploy); (all secrets should be saved in Jenkins or similar tools instead of putting it inside your code!)",2,"Job 1: Push stream feature to OFFLINE store","Capture màn hình từng CI/CD pipeline đã run thành công","Job 1: Push stream feature to OFFLINE store",data_engineer,"pytest tests/phase2 -k 'LLM-ci-cd-job-1'","pytest tests/phase2/requirements/test_llm_ac_12_cicd.py -k 'LLM-ci-cd-job-1'",docs/phase2/evidence/llm/LLM-ci-cd-job-1.md,executed,"LLM-AC-12-CICD",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,38,f34bf6b4ac2f44ab8b42c12c8565ff0bc82c2bea6bd52d72d58a72b2ba8612ee,source,.github/workflows/phase2-ci.yaml,"yaml_path:jobs.test"
LLM-ci-cd-job-2,LLM,"CI/CD; (CI/CD = test + build + auto-deploy); (all secrets should be saved in Jenkins or similar tools instead of putting it inside your code!)",2,"Job 2: Push stream feature to ONLINE store","Capture màn hình từng CI/CD pipeline đã run thành công","Job 2: Push stream feature to ONLINE store",data_engineer,"pytest tests/phase2 -k 'LLM-ci-cd-job-2'","pytest tests/phase2/requirements/test_llm_ac_12_cicd.py -k 'LLM-ci-cd-job-2'",docs/phase2/evidence/llm/LLM-ci-cd-job-2.md,executed,"LLM-AC-12-CICD",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,39,41d3d59be85b4d7808c4cb3760a2b4e0c99ab71b939e8dd8393d629c17267a7d,source,.github/workflows/phase2-ci.yaml,"yaml_path:jobs.build"
LLM-demonstrate-basic-underst-jupyter-notebook-demonstrate-a,LLM,"Demonstrate basic understanding of Agents",2,"Jupyter notebook để demonstrate Agent tương tác với MCP servers để kéo dữ liệu từ feature store cho RAG (cả nhà coi ví dụ tại đây)","Capture kết quả đã tương tác","Jupyter notebook để demonstrate Agent tương tác với MCP servers để kéo dữ liệu từ feature store cho RAG (cả nhà coi ví dụ tại đây)",llm_engineer,"pytest tests/phase2 -k 'LLM-demonstrate-basic-underst-jupyter-notebook-demonstrate-a'","pytest tests/phase2/requirements/test_llm_ac_07_agent_understanding.py -k 'LLM-demonstrate-basic-underst-jupyter-notebook-demonstrate-a'",docs/phase2/evidence/llm/LLM-demonstrate-basic-underst-jupyter-notebook-demonstrate-a.md,design_only,"LLM-AC-07-AGENT-UNDERSTANDING",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,22,f5c635adac270de7d284288938e3b573d06d98a1578d82eb1196bf40e59e3c08,source,notebooks/agent-understanding-demo.ipynb,"notebook_code_contains:understanding"
LLM-demonstrate-basic-underst-jupyter-notebooks-to-demonstra,LLM,"Demonstrate basic understanding of Agents",2,"Demonstrate basic understanding of Agents — Jupyter notebooks to demonstrate basic understanding of Agents","Capture kết quả đã tương tác","Jupyter notebook để demonstrate Agent tương tác với MCP servers để kéo feature từ Feast và thực hiện drift detection",llm_engineer,"pytest tests/phase2 -k 'LLM-demonstrate-basic-underst-jupyter-notebooks-to-demonstra'","pytest tests/phase2/requirements/test_llm_ac_07_agent_understanding.py -k 'LLM-demonstrate-basic-underst-jupyter-notebooks-to-demonstra'",docs/phase2/evidence/llm/LLM-demonstrate-basic-underst-jupyter-notebooks-to-demonstra.md,design_only,"LLM-AC-07-AGENT-UNDERSTANDING",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,21,c7355d90b3d34c979047b7d783665076a5b1297e65d284e0e9a3450b24c6067f,source,notebooks/agent-mcp-demo.ipynb,"notebook_code_contains:agent"
LLM-documentation-low-level-ml-design,LLM,"Documentation ; (tất cả documents để trong folder `docs/`, và ở README.md thì mọi người link tới mấy document này nhé. README.md chỉ summarize thôi, và nếu ai muốn đọc chi tiết các document optimize hoặc schema design thì đọc thêm ở trong docs/); (các capture màn hình cũng nên đính ở trong document để mô tả rõ mục đích từng cái muốn thể hiện điều gì, thay vì chỉ để một đống ảnh trong folder và để reviewer tự hiểu, tốt nhất nên có 1 file doc trong mỗi phần to trong folder docs/, ví dụ IaC.md thể hiện các output/document của step này, hoặc Security.md, etc.)",1,"Documentation ; (tất cả documents để trong folder `docs/`, và ở README.md thì mọi người link tới mấy document này nhé. README.md chỉ summarize thôi, và nếu ai muốn đọc chi tiết các document optimize hoặc schema design thì đọc thêm ở trong docs/); (các capture màn hình cũng nên đính ở trong document để mô tả rõ mục đích từng cái muốn thể hiện điều gì, thay vì chỉ để một đống ảnh trong folder và để reviewer tự hiểu, tốt nhất nên có 1 file doc trong mỗi phần to trong folder docs/, ví dụ IaC.md thể hiện các output/document của step này, hoặc Security.md, etc.) — Low-level ML Design","Document 5 key classes","Propose 5 key classes to present our main focus:; Example:; class TrainingDataService:;     def read_training_table(self) -> DataFrame: ...;     def validate_schema(self, df: DataFrame) -> None: ...;     def dedup_by_created_ts(self, df: DataFrame) -> DataFrame: ...; ; class SplitService:;     def get_split_boundaries(self, df: DataFrame) -> dict: ...;     def split_by_time(self, df: DataFrame) -> tuple[DataFrame, DataFrame, DataFrame]: ...",llm_engineer,"pytest tests/phase2 -k 'LLM-documentation-low-level-ml-design'","pytest tests/phase2/requirements/test_llm_ac_19_documentation.py -k 'LLM-documentation-low-level-ml-design'",docs/phase2/evidence/llm/LLM-documentation-low-level-ml-design.md,design_only,"LLM-AC-19-DOCUMENTATION",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,59,f23bd0de4af80e633be951a5ef8c5c9f2c39de4218aee55afc3247a55229f6df,source,docs/phase2/low-level-design.md,"text_contains:design"
LLM-iac-d-ng-ansible-configure-v-deplo,LLM,"IaC",1,"Dùng Ansible để configure và deploy các service lên VM ; (cần chia thành các role để code clean hơn)","Capture màn hình thể hiện từng setup đã chạy thành công","Dùng Ansible để configure và deploy các service lên VM ; (cần chia thành các role để code clean hơn)",platform_operator,"pytest tests/phase2 -k 'LLM-iac-d-ng-ansible-configure-v-deplo'","pytest tests/phase2/requirements/test_llm_ac_14_iac.py -k 'LLM-iac-d-ng-ansible-configure-v-deplo'",docs/phase2/evidence/llm/LLM-iac-d-ng-ansible-configure-v-deplo.md,executed,"LLM-AC-14-IAC",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,48,de4388780fe7bd53e526c0cb8c7f4d7443138d4a646034effcfed694ae0fb1ae,gitops,ansible/playbooks/vast-evidence-worker.yml,"text_contains:evidence"
LLM-iac-d-ng-terraform-setup-gke-ho-c-,LLM,"IaC",1,"IaC — Dùng Terraform để setup GKE hoặc các cloud services (để ý cách chia folder theo từng service nếu có, ví dụ như sau)","Capture màn hình thể hiện từng setup đã chạy thành công","Capture màn hình thể hiện từng setup đã chạy thành công",platform_operator,"pytest tests/phase2 -k 'LLM-iac-d-ng-terraform-setup-gke-ho-c-'","pytest tests/phase2/requirements/test_llm_ac_14_iac.py -k 'LLM-iac-d-ng-terraform-setup-gke-ho-c-'",docs/phase2/evidence/llm/LLM-iac-d-ng-terraform-setup-gke-ho-c-.md,executed,"LLM-AC-14-IAC",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,47,050d6f5ab42614313a537060a39afdbef955c7c775a3739c63d24fcbfdf1e53c,gitops,terraform/envs/evidence/main.tf,"text_contains:evidence"
LLM-improve-the-data-generato-simulate-data-drift,LLM,"Improve the Data Generator",1,"Improve the Data Generator — Simulate data drift","Capture màn hình thể hiện generator configuration và bảng sau khi merge id và label","Simulate data drift",data_engineer,"pytest tests/phase2 -k 'LLM-improve-the-data-generato-simulate-data-drift'","pytest tests/phase2/requirements/test_llm_ac_11_data_generator.py -k 'LLM-improve-the-data-generato-simulate-data-drift'",docs/phase2/evidence/llm/LLM-improve-the-data-generato-simulate-data-drift.md,executed,"LLM-AC-11-DATA-GENERATOR",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,31,3bd4bc2bcc47d3f1c47f0500c10cdf9bced06315e9d6bfd186724a93826fbd5e,source,src/drift/generator.py,"python_ast_symbol:apply_drift"
LLM-improve-the-data-generato-t-o-b-ng-label-c-2-c-t-id-v-la,LLM,"Improve the Data Generator",2,"Tạo bảng label có 2 cột id và label. Bảng này sẽ dùng để join với các bảng feature cho training. ; (cột id có thể đổi thành user_id, customer_id hay gì đó tuỳ mọi người)","Capture màn hình thể hiện generator configuration và bảng sau khi merge id và label","Tạo bảng label có 2 cột id và label. Bảng này sẽ dùng để join với các bảng feature cho training. ; (cột id có thể đổi thành user_id, customer_id hay gì đó tuỳ mọi người)",data_engineer,"pytest tests/phase2 -k 'LLM-improve-the-data-generato-t-o-b-ng-label-c-2-c-t-id-v-la'","pytest tests/phase2/requirements/test_llm_ac_11_data_generator.py -k 'LLM-improve-the-data-generato-t-o-b-ng-label-c-2-c-t-id-v-la'",docs/phase2/evidence/llm/LLM-improve-the-data-generato-t-o-b-ng-label-c-2-c-t-id-v-la.md,executed,"LLM-AC-11-DATA-GENERATOR",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,33,685fbe8e908e46ca2860f4317a4ce3773db6d9724276ebbbb4f05b4d78499c6b,source,src/ml/label_pipeline.py,"python_ast_symbol:run_label_build"
LLM-improve-the-data-generato-using-generator-configuration,LLM,"Improve the Data Generator",1,"Using generator configuration","Capture màn hình thể hiện generator configuration và bảng sau khi merge id và label","Using generator configuration",data_engineer,"pytest tests/phase2 -k 'LLM-improve-the-data-generato-using-generator-configuration'","pytest tests/phase2/requirements/test_llm_ac_11_data_generator.py -k 'LLM-improve-the-data-generato-using-generator-configuration'",docs/phase2/evidence/llm/LLM-improve-the-data-generato-using-generator-configuration.md,executed,"LLM-AC-11-DATA-GENERATOR",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,32,d523a4b725b9cc5a6372c145b2f1754fe9851295ea3f2ebd6edbd8d287efd31c,source,src/drift/generator_config.py,"python_ast_symbol:load_drift_config"
LLM-novel-ideas-idea-1,LLM,"Novel ideas ; (không nhất thiết tự sáng tạo ra cái gì, có thể nghiên cứu dùng thêm các công cụ, hoặc kỹ thuật gì đó không được dạy ở EDAI)",2,"Novel ideas ; (không nhất thiết tự sáng tạo ra cái gì, có thể nghiên cứu dùng thêm các công cụ, hoặc kỹ thuật gì đó không được dạy ở EDAI) — Idea 1","Document idea + proof it worked!","Document idea + proof it worked!",llm_engineer,"pytest tests/phase2 -k 'LLM-novel-ideas-idea-1'","pytest tests/phase2/requirements/test_llm_ac_20_novel.py -k 'LLM-novel-ideas-idea-1'",docs/phase2/evidence/llm/LLM-novel-ideas-idea-1.md,design_only,"LLM-AC-20-NOVEL",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,60,049e20312a192e37d48221798b9dc4ba9157194affba0e9dc8836e00e5e66602,source,src/llm/embedding_registry.py,"python_ast_contains:embedding"
LLM-novel-ideas-idea-2,LLM,"Novel ideas ; (không nhất thiết tự sáng tạo ra cái gì, có thể nghiên cứu dùng thêm các công cụ, hoặc kỹ thuật gì đó không được dạy ở EDAI)",2,"Idea 2","Document idea + proof it worked!","Idea 2",llm_engineer,"pytest tests/phase2 -k 'LLM-novel-ideas-idea-2'","pytest tests/phase2/requirements/test_llm_ac_20_novel.py -k 'LLM-novel-ideas-idea-2'",docs/phase2/evidence/llm/LLM-novel-ideas-idea-2.md,design_only,"LLM-AC-20-NOVEL",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,61,d55e238856383c357ec36545c0f3a20f2d91a7e3acfe26a2ffe31d61114ef7d5,source,src/llm/citation_guard.py,"python_ast_contains:citation"
LLM-observability-agent-tool-call-metrics,LLM,"Observability",2,"Đảm bảo ít nhất các metrics; + total num of times each agent is called; + total num of times each MCP tool is called; + total failures cho mỗi lượt call tool","Capture màn hình thể hiện các data đã được capture, có thể coi trên các dashboard","Đảm bảo ít nhất các metrics; + total num of times each agent is called; + total num of times each MCP tool is called; + total failures cho mỗi lượt call tool",platform_operator,"pytest tests/phase2 -k 'LLM-observability-agent-tool-call-metrics'","pytest tests/phase2/requirements/test_llm_ac_15_observability.py -k 'LLM-observability-agent-tool-call-metrics'",docs/phase2/evidence/llm/LLM-observability-agent-tool-call-metrics.md,design_only,"LLM-AC-15-OBSERVABILITY",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,54,f584905703575d00a8c3c3f47d3b3e1e54432cb644699296620a00b9bb3685f4,gitops,platform/observability/prometheus-values.yaml,"yaml_mapping_contains:prometheus"
LLM-observability-collect-v-visualize-metrics-v-,LLM,"Observability",1,"Collect và visualize metrics với Prometheus + Grafana (hoặc tool tương tự)","Capture màn hình thể hiện các data đã được capture, có thể coi trên các dashboard","Collect và visualize metrics với Prometheus + Grafana (hoặc tool tương tự)",platform_operator,"pytest tests/phase2 -k 'LLM-observability-collect-v-visualize-metrics-v-'","pytest tests/phase2/requirements/test_llm_ac_15_observability.py -k 'LLM-observability-collect-v-visualize-metrics-v-'",docs/phase2/evidence/llm/LLM-observability-collect-v-visualize-metrics-v-.md,design_only,"LLM-AC-15-OBSERVABILITY",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,50,c2fd0e38adce30a2e24ef2ad373403fd041dda657000639bc9392e11387a7713,gitops,platform/observability/prometheus-values.yaml,"yaml_mapping_contains:prometheus"
LLM-observability-m-b-o-t-nh-t-c-c-metrics,LLM,"Observability",2,"Đảm bảo ít nhất các metrics; + token metrics (count of input tokens, output tokens and total tokens per req); + total round-trip time for a generation; + TTFT; + Frequencies of prompts caught by safety of PII","Capture màn hình thể hiện các data đã được capture, có thể coi trên các dashboard","Đảm bảo ít nhất các metrics; + token metrics (count of input tokens, output tokens and total tokens per req); + total round-trip time for a generation; + TTFT; + Frequencies of prompts caught by safety of PII",platform_operator,"pytest tests/phase2 -k 'LLM-observability-m-b-o-t-nh-t-c-c-metrics'","pytest tests/phase2/requirements/test_llm_ac_15_observability.py -k 'LLM-observability-m-b-o-t-nh-t-c-c-metrics'",docs/phase2/evidence/llm/LLM-observability-m-b-o-t-nh-t-c-c-metrics.md,design_only,"LLM-AC-15-OBSERVABILITY",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,53,6db83a3ff03b492c4fcbb16f5e3a57b028331cb1a6bba7ea4cce6945d83b5130,gitops,platform/observability/prometheus-values.yaml,"yaml_mapping_contains:prometheus"
LLM-observability-t-ng-t-cho-logs,LLM,"Observability",1,"Tương tự cho logs","Capture màn hình thể hiện các data đã được capture, có thể coi trên các dashboard","Tương tự cho logs",platform_operator,"pytest tests/phase2 -k 'LLM-observability-t-ng-t-cho-logs'","pytest tests/phase2/requirements/test_llm_ac_15_observability.py -k 'LLM-observability-t-ng-t-cho-logs'",docs/phase2/evidence/llm/LLM-observability-t-ng-t-cho-logs.md,design_only,"LLM-AC-15-OBSERVABILITY",docs/Coursework Tracking (Public) - rubic final-coursework (final - llm).csv,51,ef338ca8d3aaddb41169678b5c82ec20b6a99d5ecec452f4725b2a7427fb1161,gitops,platform/observability/loki-otel-values.yaml,"yaml_mapping_contains:values"
